"country"	"wealth"	"math_score"	"population"	"weight"	"country_mean"	"average_wealth"
"Bulgaria"	-2	387.328032641975	7305888	0.00322918130763643	442.46996601666	-0.444635406698565
"Canada"	1	516.365890012837	34754312	0.0153613051103664	509.417686551244	0.508481898100009
"Canada"	0	510.101179807996	34754312	0.0153613051103664	509.417686551244	0.508481898100009
"Canada"	-1	500.814325423341	34754312	0.0153613051103664	509.417686551244	0.508481898100009
"Canada"	-2	479.739479715909	34754312	0.0153613051103664	509.417686551244	0.508481898100009
"Canada"	2	519.391679580897	34754312	0.0153613051103664	509.417686551244	0.508481898100009
"Canada"	3	514.469279688716	34754312	0.0153613051103664	509.417686551244	0.508481898100009
"Chile"	-3	360.036283969466	17464814	0.00771939713695954	444.692317803384	-0.263304309327037
"Chile"	1	497.013778280922	17464814	0.00771939713695954	444.692317803384	-0.263304309327037
"Chile"	0	451.544733124736	17464814	0.00771939713695954	444.692317803384	-0.263304309327037
"Chile"	-1	413.746570721103	17464814	0.00771939713695954	444.692317803384	-0.263304309327037
"Chile"	-2	391.259588804071	17464814	0.00771939713695954	444.692317803384	-0.263304309327037
"Chile"	2	517.034188207547	17464814	0.00771939713695954	444.692317803384	-0.263304309327037
"Chile"	3	528.802161801802	17464814	0.00771939713695954	444.692317803384	-0.263304309327037
"China-Shanghai"	-3	513.889569230769	23019148	0.0101743966564115	611.438932988217	-0.776292069632495
"China-Shanghai"	1	636.68190787234	23019148	0.0101743966564115	611.438932988217	-0.776292069632495
"China-Shanghai"	0	633.142512146857	23019148	0.0101743966564115	611.438932988217	-0.776292069632495
"China-Shanghai"	-1	615.355261912494	23019148	0.0101743966564115	611.438932988217	-0.776292069632495
"China-Shanghai"	-2	580.256844833512	23019148	0.0101743966564115	611.438932988217	-0.776292069632495
"Chinese Taipei"	1	574.380441134752	8357000	0.00369376976322627	558.312010459808	-0.471364315352697
"Chinese Taipei"	0	569.491983942029	8357000	0.00369376976322627	558.312010459808	-0.471364315352697
"Chinese Taipei"	-1	554.507108596202	8357000	0.00369376976322627	558.312010459808	-0.471364315352697
"Chinese Taipei"	-2	516.266052235772	8357000	0.00369376976322627	558.312010459808	-0.471364315352697
"Colombia"	-3	347.108581205099	47704427	0.0210852183827492	385.972408566075	-1.40553118040089
"Colombia"	1	455.216973061225	47704427	0.0210852183827492	385.972408566075	-1.40553118040089
"Colombia"	0	423.185235817774	47704427	0.0210852183827492	385.972408566075	-1.40553118040089
"Colombia"	-1	393.945216961009	47704427	0.0210852183827492	385.972408566075	-1.40553118040089
"Colombia"	-2	367.545299185455	47704427	0.0210852183827492	385.972408566075	-1.40553118040089
"Colombia"	-4	326.679808717949	47704427	0.0210852183827492	385.972408566075	-1.40553118040089
"Connecticut (USA)"	1	516.654621318052	3590347	0	501.241329180907	0.693351095322676
"Connecticut (USA)"	0	475.305896648045	3590347	0	501.241329180907	0.693351095322676
"Connecticut (USA)"	-1	445.302948571429	3590347	0	501.241329180907	0.693351095322676
"Connecticut (USA)"	2	535.702603229167	3590347	0	501.241329180907	0.693351095322676
"Connecticut (USA)"	3	551.75661009009	3590347	0	501.241329180907	0.693351095322676
"Costa Rica"	-3	366.642557777778	4805295	0.0021239264537971	405.973594615385	-1.34538444444444
"Costa Rica"	1	457.010438823529	4805295	0.0021239264537971	405.973594615385	-1.34538444444444
"Costa Rica"	0	439.15181286802	4805295	0.0021239264537971	405.973594615385	-1.34538444444444
"Costa Rica"	-1	414.650356668629	4805295	0.0021239264537971	405.973594615385	-1.34538444444444
"Costa Rica"	-2	386.10669374359	4805295	0.0021239264537971	405.973594615385	-1.34538444444444
"Costa Rica"	-4	361.783917108434	4805295	0.0021239264537971	405.973594615385	-1.34538444444444
"Costa Rica"	-5	339.461689090909	4805295	0.0021239264537971	405.973594615385	-1.34538444444444
"Croatia"	1	479.423397695035	4267558	0.00188624825932923	469.975718989617	-0.448698959167334
"Croatia"	0	476.053318088368	4267558	0.00188624825932923	469.975718989617	-0.448698959167334
"Croatia"	-1	465.060195704339	4267558	0.00188624825932923	469.975718989617	-0.448698959167334
"Croatia"	-2	441.769497152778	4267558	0.00188624825932923	469.975718989617	-0.448698959167334
"Czech Republic"	1	531.7469447793	10510785	0.00464573648686996	520.061285023465	-0.189319638145496
"Czech Republic"	0	524.774149842062	10510785	0.00464573648686996	520.061285023465	-0.189319638145496
"Czech Republic"	-1	513.059814698413	10510785	0.00464573648686996	520.061285023465	-0.189319638145496
"Czech Republic"	-2	473.876288928571	10510785	0.00464573648686996	520.061285023465	-0.189319638145496
"Czech Republic"	2	530.510170597015	10510785	0.00464573648686996	520.061285023465	-0.189319638145496
"Denmark"	1	505.633531667801	5591572	0.00247145860745515	486.241284052934	0.195567428648722
"Denmark"	0	491.001410304601	5591572	0.00247145860745515	486.241284052934	0.195567428648722
"Denmark"	-1	450.007081185771	5591572	0.00247145860745515	486.241284052934	0.195567428648722
"Denmark"	2	494.92592686747	5591572	0.00247145860745515	486.241284052934	0.195567428648722
"Estonia"	1	531.290169572954	1325016	0.000585653229219938	522.340803486085	-0.177426160337553
"Estonia"	0	522.178159514942	1325016	0.000585653229219938	522.340803486085	-0.177426160337553
"Estonia"	-1	521.895042542912	1325016	0.000585653229219938	522.340803486085	-0.177426160337553
"Estonia"	-2	505.427532696629	1325016	0.000585653229219938	522.340803486085	-0.177426160337553
"Estonia"	2	536.098244146341	1325016	0.000585653229219938	522.340803486085	-0.177426160337553
"Finland"	1	516.761110810552	5413971	0.00239295948052937	507.325876185298	0.211618404486666
"Finland"	0	509.497106962656	5413971	0.00239295948052937	507.325876185298	0.211618404486666
"Finland"	-1	493.879194587156	5413971	0.00239295948052937	507.325876185298	0.211618404486666
"Finland"	2	521.136119640719	5413971	0.00239295948052937	507.325876185298	0.211618404486666
"Finland"	3	515.84846989011	5413971	0.00239295948052937	507.325876185298	0.211618404486666
"Florida (USA)"	1	483.522903157895	19057542	0	464.534908449367	0.480307040762308
"Florida (USA)"	0	447.709393402367	19057542	0	464.534908449367	0.480307040762308
"Florida (USA)"	-1	423.035331133005	19057542	0	464.534908449367	0.480307040762308
"Florida (USA)"	-2	413.670356888889	19057542	0	464.534908449367	0.480307040762308
"Florida (USA)"	2	500.621086506024	19057542	0	464.534908449367	0.480307040762308
"Florida (USA)"	3	509.44767	19057542	0	464.534908449367	0.480307040762308
"France"	1	515.95790479103	65676758	0.0290289365618199	498.375870396705	0.150354547456507
"France"	0	500.719608258333	65676758	0.0290289365618199	498.375870396705	0.150354547456507
"France"	-1	480.736078590909	65676758	0.0290289365618199	498.375870396705	0.150354547456507
"France"	2	513.895131190476	65676758	0.0290289365618199	498.375870396705	0.150354547456507
"Germany"	1	526.290105154639	80425823	0.0355479805169305	513.873842939412	0.203190386427898
"Germany"	0	523.937157801418	80425823	0.0355479805169305	513.873842939412	0.203190386427898
"Germany"	-1	495.724380219479	80425823	0.0355479805169305	513.873842939412	0.203190386427898
"Germany"	2	528.7357844	80425823	0.0355479805169305	513.873842939412	0.203190386427898
"Greece"	1	466.728997467456	11092771	0.00490297261100793	453.514353319024	-0.252643137254902
"Greece"	0	460.092402297762	11092771	0.00490297261100793	453.514353319024	-0.252643137254902
"Greece"	-1	441.851515715178	11092771	0.00490297261100793	453.514353319024	-0.252643137254902
"Greece"	-2	421.007046730769	11092771	0.00490297261100793	453.514353319024	-0.252643137254902
"Greece"	2	485.03174025	11092771	0.00490297261100793	453.514353319024	-0.252643137254902
"Hong Kong-China"	1	591.198918378378	7155000	0.00316248924923824	561.052123100642	-0.9626381305962
"Hong Kong-China"	0	574.911884711632	7155000	0.00316248924923824	561.052123100642	-0.9626381305962
"Hong Kong-China"	-1	562.105677263242	7155000	0.00316248924923824	561.052123100642	-0.9626381305962
"Hong Kong-China"	-2	548.195433208791	7155000	0.00316248924923824	561.052123100642	-0.9626381305962
"Hungary"	1	503.400465974026	9920362	0.00438477123320078	484.869389222453	-0.514494122586062
"Hungary"	0	495.5792404811	9920362	0.00438477123320078	484.869389222453	-0.514494122586062
"Hungary"	-1	480.958443755187	9920362	0.00438477123320078	484.869389222453	-0.514494122586062
"Hungary"	-2	449.048781683673	9920362	0.00438477123320078	484.869389222453	-0.514494122586062
"Iceland"	1	495.369241120507	320716	0.000141755541867043	492.927206966933	0.430474934036939
"Iceland"	0	495.594017641671	320716	0.000141755541867043	492.927206966933	0.430474934036939
"Iceland"	-1	499.431529078947	320716	0.000141755541867043	492.927206966933	0.430474934036939
"Iceland"	2	490.267142689076	320716	0.000141755541867043	492.927206966933	0.430474934036939
"Indonesia"	-3	363.201324033832	246864191	0.109113256472312	375.621968271078	-2.40506683300659
"Indonesia"	0	427.887245381526	246864191	0.109113256472312	375.621968271078	-2.40506683300659
"Indonesia"	-1	398.789227620222	246864191	0.109113256472312	375.621968271078	-2.40506683300659
"Indonesia"	-2	376.404707394057	246864191	0.109113256472312	375.621968271078	-2.40506683300659
"Indonesia"	-4	359.416655436409	246864191	0.109113256472312	375.621968271078	-2.40506683300659
"Indonesia"	-6	348.435123853211	246864191	0.109113256472312	375.621968271078	-2.40506683300659
"Ireland"	1	513.250118635057	4586897	0.00202739517118982	501.274866846092	0.452501504513541
"Ireland"	0	497.108461533277	4586897	0.00202739517118982	501.274866846092	0.452501504513541
"Ireland"	-1	480.589263602058	4586897	0.00202739517118982	501.274866846092	0.452501504513541
"Ireland"	2	513.35545154334	4586897	0.00202739517118982	501.274866846092	0.452501504513541
"Ireland"	3	517.180277553957	4586897	0.00202739517118982	501.274866846092	0.452501504513541
"Israel"	1	488.972592802548	7910500	0.00349641805815501	468.545924589515	-0.121008574928542
"Israel"	0	476.001005390909	7910500	0.00349641805815501	468.545924589515	-0.121008574928542
"Israel"	-1	452.960899578736	7910500	0.00349641805815501	468.545924589515	-0.121008574928542
"Israel"	-2	438.126739069767	7910500	0.00349641805815501	468.545924589515	-0.121008574928542
"Israel"	2	487.787752331606	7910500	0.00349641805815501	468.545924589515	-0.121008574928542
"Italy"	1	504.2375561459	59539717	0.0263163822383211	492.058400023171	0.0953059508408797
"Italy"	0	493.826823761255	59539717	0.0263163822383211	492.058400023171	0.0953059508408797
"Italy"	-1	475.181314943705	59539717	0.0263163822383211	492.058400023171	0.0953059508408797
"Italy"	-2	434.638979714286	59539717	0.0263163822383211	492.058400023171	0.0953059508408797
"Italy"	2	505.237115772727	59539717	0.0263163822383211	492.058400023171	0.0953059508408797
"Italy"	3	501.634340769231	59539717	0.0263163822383211	492.058400023171	0.0953059508408797
"Japan"	1	546.228964329004	127561489	0.0563818081871869	535.925247545268	-0.278981614708233
"Japan"	0	541.2943686357	127561489	0.0563818081871869	535.925247545268	-0.278981614708233
"Japan"	-1	533.036716411418	127561489	0.0563818081871869	535.925247545268	-0.278981614708233
"Japan"	-2	495.26557238806	127561489	0.0563818081871869	535.925247545268	-0.278981614708233
